2.4,2.0,1.8,0.8
team,1,1.2,-0.5,270
team,2,3.6,-0.5,270
team,3,6.0,-0.5,270
team,4,8.4,-0.5,270
team,5,10.8,-0.5,270
team,6,13.2,-0.5,270
team,7,17.6,-0.5,270
team,8,20.0,-0.5,270
team,9,22.4,-0.5,270
team,10,24.8,-0.5,270
team,11,27.2,-0.5,270
team,12,29.6,-0.5,270
team,13,34.0,-0.5,270
team,14,36.4,-0.5,270
team,15,38.8,-0.5,270
team,16,41.2,-0.5,270
team,17,41.2,-1.5,90
team,18,38.8,-1.5,90
team,19,36.4,-1.5,90
team,20,34.0,-1.5,90
team,21,29.6,-1.5,90
team,22,27.2,-1.5,90
team,23,24.8,-1.5,90
team,24,22.4,-1.5,90
team,25,20.0,-1.5,90
team,26,17.6,-1.5,90
team,27,13.2,-1.5,90
team,28,10.8,-1.5,90
team,29,8.4,-1.5,90
team,30,6.0,-1.5,90
team,31,3.6,-1.5,90
team,32,1.2,-1.5,90
team,33,1.2,-6.0,270
team,34,3.6,-6.0,270
team,35,6.0,-6.0,270
team,36,8.4,-6.0,270
team,37,10.8,-6.0,270
team,38,13.2,-6.0,270
team,39,17.6,-6.0,270
team,40,20.0,-6.0,270
team,41,22.4,-6.0,270
team,42,24.8,-6.0,270
team,43,27.2,-6.0,270
team,44,29.6,-6.0,270
team,45,34.0,-6.0,270
team,46,36.4,-6.0,270
team,47,38.8,-6.0,270
team,48,41.2,-6.0,270
team,49,41.2,-7.0,90
team,50,38.8,-7.0,90
team,51,36.4,-7.0,90
team,52,34.0,-7.0,90
team,53,29.6,-7.0,90
team,54,27.2,-7.0,90
team,55,24.8,-7.0,90
team,56,22.4,-7.0,90
team,57,20.0,-7.0,90
team,58,17.6,-7.0,90
team,59,13.2,-7.0,90
team,60,10.8,-7.0,90
team,61,8.4,-7.0,90
team,62,6.0,-7.0,90
team,63,3.6,-7.0,90
team,64,1.2,-7.0,90
team,65,1.2,-12.75,270
team,66,3.6,-12.75,270
team,67,6.0,-12.75,270
team,68,8.4,-12.75,270
team,69,10.8,-12.75,270
team,70,13.2,-12.75,270
team,71,17.6,-12.75,270
team,72,20.0,-12.75,270
team,73,22.4,-12.75,270
team,74,24.8,-12.75,270
team,75,27.2,-12.75,270
team,76,29.6,-12.75,270
team,77,34.0,-12.75,270
team,78,36.4,-12.75,270
team,79,38.8,-12.75,270
team,80,41.2,-12.75,270
team,81,41.2,-13.75,90
team,82,38.8,-13.75,90
team,83,36.4,-13.75,90
team,84,34.0,-13.75,90
team,85,29.6,-13.75,90
team,86,27.2,-13.75,90
team,87,24.8,-13.75,90
team,88,22.4,-13.75,90
team,89,20.0,-13.75,90
team,90,17.6,-13.75,90
team,91,13.2,-13.75,90
team,92,10.8,-13.75,90
team,93,8.4,-13.75,90
team,94,6.0,-13.75,90
team,95,3.6,-13.75,90
team,96,1.2,-13.75,90
team,97,1.2,-18.25,270
team,98,3.6,-18.25,270
team,99,6.0,-18.25,270
team,100,8.4,-18.25,270
team,101,10.8,-18.25,270
team,102,13.2,-18.25,270
team,103,17.6,-18.25,270
team,104,20.0,-18.25,270
team,105,22.4,-18.25,270
team,106,24.8,-18.25,270
team,107,27.2,-18.25,270
team,108,29.6,-18.25,270
team,109,34.0,-18.25,270
team,110,36.4,-18.25,270
team,111,38.8,-18.25,270
team,112,41.2,-18.25,270
team,113,41.2,-19.25,90
team,114,38.8,-19.25,90
team,115,36.4,-19.25,90
team,116,34.0,-19.25,90
team,117,29.6,-19.25,90
team,118,27.2,-19.25,90
team,119,24.8,-19.25,90
team,120,22.4,-19.25,90
team,121,20.0,-19.25,90
team,122,17.6,-19.25,90
team,123,13.2,-19.25,90
team,124,10.8,-19.25,90
team,125,8.4,-19.25,90
team,126,6.0,-19.25,90
team,127,3.6,-19.25,90
team,128,1.2,-19.25,90
aisle,-0.7,0.7,-0.7,-22.45
aisle,43.1,0.7,43.1,-22.45
aisle,15.4,0.7,15.4,-22.45
aisle,31.8,0.7,31.8,-22.45
aisle,-0.7,0.7,43.1,0.7
aisle,-0.7,-22.45,43.1,-22.45
aisle,-0.7,-4.75,43.1,-4.75
aisle,-0.7,-10.87,43.1,-10.87
aisle,-0.7,-17.0,43.1,-17.0
balloon,A,32.8,-23.15
balloon,B,34.72,-23.15
balloon,C,36.64,-23.15
balloon,D,38.56,-23.15
balloon,E,40.48,-23.15
balloon,F,42.4,-23.15
printer,41.2,-23.85
